epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
57,4150.88,0.78208,1.33949,0.26,0.26224,0.03658,12.6035,0.98445,1,0.99471,0.75595,0.98083,0.99836,0.99381,0.73829,1.01735,1.01927,0.15688,0.29366,0.052,0,0.0012608,0.0012608,0.0012608
58,4224.33,0.82613,1.32096,0.24573,0.26748,0.03899,12.4492,0.98541,0.98837,0.99441,0.77157,0.98541,0.98837,0.99374,0.67869,1.02986,1.24216,0.1833,0.31392,0.05174,0,0.0012476,0.0012476,0.0012476
59,4299.63,0.75853,1.34526,0.27332,0.26232,0.03586,12.7097,0.99299,1,0.99485,0.72756,0.98814,0.99512,0.99338,0.58616,1.14941,1.54923,0.08782,0.32422,0.06054,0,0.0012344,0.0012344,0.0012344
60,4367.91,0.7689,1.39877,0.28158,0.25075,0.03684,12.8249,1,0.9944,0.995,0.75564,0.99019,0.98465,0.9923,0.64619,1.0778,1.3443,0.11038,0.30359,0.05472,0,0.0012212,0.0012212,0.0012212
61,4436.01,0.69785,1.36284,0.26984,0.25471,0.03282,12.7678,0.99506,0.98358,0.99495,0.72857,0.9852,0.97398,0.99314,0.65255,1.14515,1.36264,0.1132,0.34979,0.05948,0,0.001208,0.001208,0.001208
62,4503.95,0.88402,1.37626,0.26337,0.27516,0.04315,12.758,0.98895,0.99512,0.99485,0.7564,0.9792,0.98537,0.9917,0.7052,1.03896,1.17144,0.18308,0.29701,0.052,0,0.0011948,0.0011948,0.0011948
63,4579.38,0.75797,1.34198,0.25065,0.28024,0.0354,12.543,1,0.99958,0.995,0.71413,0.99512,0.99471,0.99383,0.65552,1.22961,1.31815,0.16357,0.30812,0.06253,0,0.0011816,0.0011816,0.0011816
64,4651.65,0.80968,1.30846,0.25555,0.26145,0.03807,12.4482,1,0.98966,0.995,0.71811,0.99507,0.98478,0.99456,0.75515,1.19483,0.96407,0.24162,0.34324,0.05947,0,0.0011684,0.0011684,0.0011684
65,4721,0.70421,1.2994,0.25426,0.25065,0.03235,12.3904,0.98553,0.99642,0.99466,0.75304,0.98556,0.99896,0.99232,0.72436,1.05603,1.08304,0.19746,0.3412,0.05397,0,0.0011552,0.0011552,0.0011552
66,4789.54,0.833,1.35832,0.2651,0.27494,0.03954,12.6966,0.97597,0.99041,0.99446,0.73415,0.97597,0.99041,0.99334,0.61881,1.14029,1.41047,0.17653,0.33572,0.05734,0,0.001142,0.001142,0.001142
67,4857.91,0.68295,1.23423,0.25288,0.26145,0.03189,12.3144,0.99744,0.99512,0.995,0.70513,0.99255,0.99024,0.99466,0.68809,1.22198,1.20245,0.10703,0.32701,0.06398,0,0.0011288,0.0011288,0.0011288
68,4928.45,0.75956,1.27844,0.25305,0.25869,0.03578,12.4757,0.99016,0.98187,0.99485,0.70487,0.98524,0.97699,0.99427,0.64727,1.2661,1.32685,0.13722,0.38192,0.06384,0,0.0011156,0.0011156,0.0011156
69,4997.15,0.69518,1.20922,0.2563,0.24709,0.03215,12.17,0.9845,1,0.9948,0.72626,0.9797,0.99512,0.99396,0.69603,1.16147,1.18039,0.17669,0.33705,0.0602,0,0.0011024,0.0011024,0.0011024
70,5065.45,0.82152,1.20417,0.25903,0.28475,0.03909,12.0639,0.99508,0.98738,0.99495,0.74524,0.99017,0.98311,0.99476,0.69777,1.13223,1.16574,0.13514,0.38274,0.05677,0,0.0010892,0.0010892,0.0010892
71,5133.93,0.6546,1.18548,0.2554,0.2445,0.03037,12.1138,0.98683,0.96585,0.99312,0.69197,0.98683,0.96585,0.99301,0.69449,1.28777,1.1641,0.12439,0.36446,0.0674,0,0.001076,0.001076,0.001076
72,5203.05,0.76835,1.16592,0.26347,0.26052,0.03646,11.9219,0.99033,0.99967,0.9949,0.76473,0.9855,0.99479,0.9932,0.6995,1.00939,1.16285,0.10667,0.33025,0.05192,0,0.0010628,0.0010628,0.0010628
73,5271.51,0.67783,1.2115,0.24989,0.24314,0.0317,12.0249,0.98548,0.99329,0.99446,0.74372,0.98548,0.99329,0.99321,0.77069,1.10556,0.93474,0.16438,0.33574,0.05669,0,0.0010496,0.0010496,0.0010496
74,5340.51,0.76166,1.16111,0.24458,0.27008,0.03578,12.2849,0.98084,0.99866,0.99466,0.77049,0.98084,0.99866,0.99342,0.72707,1.00256,1.09196,0.19483,0.29711,0.04941,0,0.0010364,0.0010364,0.0010364
75,5409.62,0.67281,1.17061,0.24422,0.25146,0.03082,12.3794,0.96046,1,0.99356,0.73417,0.95957,1,0.99282,0.76341,1.14564,0.95014,0.23903,0.34321,0.05897,0,0.0010232,0.0010232,0.0010232
76,5481.71,0.67206,1.18876,0.24993,0.25574,0.03147,12.094,0.96851,0.97073,0.99264,0.74155,0.97953,0.95122,0.99245,0.66386,1.10299,1.26416,0.16127,0.36529,0.057,0,0.00101,0.00101,0.00101
77,5549.95,0.69559,1.13193,0.23387,0.25159,0.03245,11.7683,0.99102,1,0.9949,0.68447,0.98135,0.99024,0.98997,0.60466,1.31966,1.49523,0.14507,0.37775,0.06702,0,0.0009968,0.0009968,0.0009968
78,5618.45,0.66631,1.18838,0.23634,0.23164,0.03113,12.0559,0.97721,0.98537,0.99427,0.67962,0.97237,0.98049,0.99078,0.63102,1.34189,1.41078,0.13949,0.46603,0.06793,0,0.0009836,0.0009836,0.0009836
79,5686.97,0.62656,1.11985,0.21916,0.22844,0.02869,11.7856,0.98145,0.98049,0.99323,0.71055,0.97648,0.97561,0.99226,0.63196,1.21077,1.39256,0.11677,0.38562,0.06243,0,0.0009704,0.0009704,0.0009704
80,5755.55,0.66049,1.13884,0.23146,0.22897,0.0304,11.8431,0.99543,0.99024,0.995,0.75104,0.98665,0.99024,0.99323,0.67782,1.06266,1.23608,0.1856,0.30337,0.05413,0,0.0009572,0.0009572,0.0009572
81,5823.85,0.62974,1.13568,0.24546,0.21415,0.02896,12.0381,0.98389,0.99512,0.99476,0.73577,0.97906,0.99024,0.99416,0.73432,1.15646,1.07333,0.11073,0.3431,0.05941,0,0.000944,0.000944,0.000944
82,5893.14,0.62086,1.06392,0.22199,0.22707,0.0283,11.4453,0.99441,0.99024,0.995,0.74658,0.99107,0.98537,0.99466,0.75302,1.09675,1.00783,0.14052,0.33233,0.05641,0,0.0009308,0.0009308,0.0009308
